Skoob,Name,Score /5,Editora,Autor,Genero Autor,Nacionalidade,Lingua,Terminado em:,Status,Tenho,Tentativas de leitura,Ku,Prime,HQ,Meta 2023,Serie,Ano Compra,Formato,Genêro,Nacional,Traduzido,Doar,Número de paginas total,Minoria,Cliche
No,Harry Potter e o Prisioneiro de Azkaban,⭐️⭐️⭐️⭐️⭐️,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Harry Potter e o Cálice de Fogo,⭐️⭐️⭐️⭐️⭐️,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Harry Potter e o Enigma do Principe,⭐️⭐️⭐️⭐️⭐️,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Harry Potter e as Relíquias da Morte,⭐️⭐️⭐️⭐️⭐️,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,"Os contos de Bedle, o Bardo",⭐️⭐️⭐️⭐️⭐️,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Mortos não contam segredos,,Galera,Karen M. McManus,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2019,Fisico,Mistério,Internacional,Traduzido,Yes,,,
Yes,Os primos,,Galera,Karen M. McManus,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2021,Fisico,Mistério,Internacional,Traduzido,No,,,
Yes,Amber House,,Jangada,"Kelly Moose, Larkin Reed, Tucker Reed",Mulher,Usa,Portugues,,Doado,No,,No,No,No,No,No,?,Fisico,Mistério,Internacional,Traduzido,No,,,
Yes,A amiga genial,,Biblioteca Azul,Elena Ferrante,Mulher,Italia,Portugues,,Em pausa,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,A Batalha do Labirinto - Percy Jackson e os Olimpianos - 4,⭐️⭐️⭐️⭐️,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,A Biblioteca da meia-noite,,Bertrand,Matt Haig,Homem,Inglaterra,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,"Romance, Suspense",Internacional,Traduzido,No,,,
Yes,A Casa de Hades - Série Os Heróis do Olimpo - 4,,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Abandonado,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,A Coroa,⭐️,Seguinte,Kiera Cass,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Romance Distopico,Internacional,Traduzido,No,,,
Yes,A Elite,⭐️⭐️⭐️,Seguinte,Kiera Cass,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Romance Distopico,Internacional,Traduzido,No,,,
Yes,A Escolha,⭐️⭐️⭐️,Seguinte,Kiera Cass,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Romance Distopico,Internacional,Traduzido,No,,,
Yes,A esperança,,Rocco,Suzanne Collins,Mulher,Usa,Portugues,,Abandonado,Yes,,No,No,No,No,Yes,2016,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,A Guerra da Rainha Vermelha - Vol. 1: Prince of Fools,,DarkSide,Mark Lawrence,Homem,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2021,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,A Herdeira,⭐️⭐️,Seguinte,Kiera Cass,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Romance Distopico,Internacional,Traduzido,No,,,
Yes,A lista de convidados,,intrínseca,Lucy Foley,Mulher,Inglaterra,Portugues,,Em pausa,Yes,,No,No,No,No,No,2022,Fisico,Suspense,Internacional,Traduzido,No,,,
Yes,A Maldição do Titã - Percy Jackson e os Olimpianos - 3,⭐️⭐️⭐️,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,A Marca de Atena - Série Os Heróis do Olimpo - 3,⭐️⭐️⭐️,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,A prisão do rei,,Seguinte,Victoria Aveyard,Mulher,Usa,Portugues,,Abandonado,Yes,,No,No,No,No,Yes,2017,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,A Rainha vermelha,⭐️⭐️⭐️,Seguinte,Victoria Aveyard,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,A revolução dos bichos,⭐️⭐️⭐️⭐️,Via Literatura,George Orwell,Homem,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,No,2021,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,A Seleção,⭐️⭐️⭐️,Seguinte,Kiera Cass,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Romance Distopico,Internacional,Traduzido,No,,,
Yes,A Sereia,⭐️⭐️⭐️⭐️,Seguinte,Kiera Cass,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2016,Fisico,Romance Distopico,Internacional,Traduzido,No,,,
Yes,A Prometida,,Seguinte,Kiera Cass,Mulher,Usa,Portugues,,Doado,No,,No,No,No,No,No,2020,Fisico,"Distopia, Romance",Internacional,Traduzido,No,,,
Yes,Duff,⭐️⭐️⭐️⭐️,GloboAlt,Kody Keplinger,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2018,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Destinos e Fúrias,,intrínseca,Lauren Groff,Mulher,Usa,Portugues,,"Doado, Não começado",No,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Coração Perverso,,GloboAlt,Leisa Rayven,Mulher,Australia,Portugues,,"Doado, Não começado",No,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Starling,,Jangada,Lesley Livingston,Mulher,Canada,Portugues,,Doado,No,,No,No,No,No,No,?,Fisico,,Internacional,Traduzido,No,,,
Yes,Clube do Livro dos Homens,,Arqueiro,Lyssa Kay Adams,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Dom Casmurro,⭐️⭐️⭐️⭐️⭐️,Principis,Machado de Assis,Homem,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2021,Fisico,"Classico, Romance",Nacional,Traduzido,No,,,
Yes,Memórias postumas de Brás Cubas,,Principis,Machado de Assis,Homem,Brasil,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2021,Fisico,"Classico, Romance",Nacional,Traduzido,No,,,
Yes,Quincas Borba,,Principis,Machado de Assis,Homem,Brasil,Portugues,,Não começado,Yes,,No,No,No,No,No,2021,Fisico,"Classico, Romance",Nacional,Traduzido,No,,,
Yes,The Red Queen’s War - Vol. 1: Prince of Fools,,HarperVoyager,Mark Lawrence,Homem,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2020,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Prince of Thorns (Trilogia dos Espinhos Livro 1),,DarkSide,Mark Lawrence,Homem,Usa,Portugues,,Em pausa,Yes,,No,No,No,No,Yes,2019,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,CONTRA TODAS AS PROBABILIDADES DO AMOR,,Faro,Rebekah Crane,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2020,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,King of Thorns (Trilogia dos Espinhos Livro 2),,DarkSide,Mark Lawrence,Homem,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2020,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,The Kiss of Deception - Crônicas de Amor e Ódio - Vol. 1,⭐️⭐️⭐️⭐️,DarkSide,Mary Pearson,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2017,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,"The Heart of Betrayal - Crônicas de Amor e Ódio, Volume 2",⭐️⭐️⭐️⭐️⭐️,DarkSide,Mary Pearson,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,The Beauty of Darkness - Crônicas de Amor e Ódio - Vol. 3,,DarkSide,Mary Pearson,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,Yes,2019,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Contato De Emergência,,intrínseca,Mary H. K. Choi,Mulher,Coreia,Portugues,,Não começado,Yes,,No,No,No,No,No,2019,Fisico,Romance,Internacional,Traduzido,Yes,,,
Yes,Revolução em mim,⭐️⭐️⭐️⭐️,Moderna,Marcia Kupstas,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2015,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,A Queda De Lorde Drayson,,Pausa,Rachael Anderson,Mulher,Usa,Portugues,,Doado,No,,No,No,No,No,No,2020,Fisico,"Epoca, Romance",Internacional,Traduzido,No,,,
Yes,A Mafia,,Chiado Brasil,Raissa Raiane,Mulher,Brasil,Portugues,,Doado,No,,No,No,No,No,No,2021,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,O Rei das Cinzas,,‎ HarperCollins,Raymond E. Feist,Homem,Usa,Portugues,,Doado,No,,No,No,No,No,No,?,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,A ilha do tesouro,,Principis,Robert Louis Stevenson,Homem,Usa,Portugues,,Doado,No,,No,No,No,No,No,2022,Fisico,,Internacional,Traduzido,No,,,
Yes,Academia De Vampiros (Livro 1) - com capítulos extras inéditos,⭐️⭐️⭐️⭐️⭐️,‎ HarperCollins,Richelle Mead,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2022,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Academia de Vampiros - Aura negra,⭐️⭐️⭐️⭐️⭐️,Agir,Richelle Mead,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Academia de Vampiros - Laços Do Espírito,⭐️⭐️⭐️⭐️⭐️,Agir,Richelle Mead,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Academia de Vampiros - O beijo das sombras,⭐️⭐️⭐️⭐️⭐️,Agir,Richelle Mead,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Academia de Vampiros - O Último Sacrifício,⭐️⭐️⭐️⭐️⭐️,Agir,Richelle Mead,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2019,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Laços de sangue (Bloodlines Livro 1),⭐️⭐️⭐️⭐️,Seguinte,Richelle Mead,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2020,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,O Ladrão de Raios - Percy Jackson e os Olimpianos - 1,⭐️⭐️⭐️⭐️⭐️,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,O Mar de Monstros - Percy Jackson e os Olimpianos - 2,⭐️⭐️⭐️⭐️⭐️,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,O Último Olimpiano - Percy Jackson e os Olimpianos - 5,⭐️⭐️⭐️⭐️⭐️,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,O Herói Perdido - Série Os Heróis do Olimpo - 1,⭐️⭐️⭐️,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,O Filho De Netuno - Série Os Heróis do Olimpo - 2,⭐️⭐️⭐️,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,O Sangue do Olimpo - Série Os Heróis do Olimpo - 5,,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Percy Jackson e os olimpianos: Guia definitivo,⭐️⭐️⭐️⭐️⭐️,intrínseca,Rick Riordan,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,O Jogo da Mentira,,Rocco,Ruth Ware,Mulher,Inglaterra,Portugues,,Não começado,Yes,,No,No,No,No,No,2019,Fisico,Suspense,Internacional,Traduzido,Yes,,,
Yes,Match Imperfeito,,Gutenberg,Sandhya Menon,Mulher,India,Portugues,,Doado,No,,No,No,No,No,No,2020,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Lara Jean Vive Terminando comigo,⭐️⭐️⭐️⭐️⭐️,intrínseca,Mariko Tamaki,Mulher,Canada,Portugues,,Lido,Yes,,No,No,No,No,No,2022,HQ,Romance,Internacional,Traduzido,No,,,
Yes,Academia de Vampiros - Promessa de Sangue,⭐️⭐️⭐️⭐️⭐️,Agir,Richelle Mead,Mulher,Usa,Portugues,2018/01/01,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Academia de Vampiros - Tocada pelas sombras,⭐️⭐️⭐️⭐️⭐️,Agir,Richelle Mead,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,"Admirável mundo novo ",,Biblioteca Azul,Aldous Huxley,Homem,Inglaterra,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,Allegro em hip-hop,⭐️⭐️⭐️⭐️,Gutenberg,Babi Dewet,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Amor e gelato,⭐️⭐️⭐️⭐️,intrínseca,Jenna Evans Welch,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2017,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Amor e sorte,,intrínseca,Jenna Evans Welch,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"Amor sob encomenda ",⭐️⭐️⭐️⭐️⭐️,Verus,Carina Rissi,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2019,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Animais Fantásticos e onde habitam,⭐️⭐️⭐️⭐️⭐️,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Anne da Ilha,,Ciranda Cultural,Lucy Maud Montgomery,Mulher,Canada,Portugues,,"Doado, Não começado",No,,No,No,No,No,Yes,2021,Fisico,Infanto Juvenil,Internacional,Traduzido,No,,,
Yes,Anne de Avonlea,,Ciranda Cultural,Lucy Maud Montgomery,Mulher,Canada,Portugues,,"Doado, Não começado",No,,No,No,No,No,Yes,2021,Fisico,Infanto Juvenil,Internacional,Traduzido,No,,,
Yes,Anne de Green Gables,,Ciranda Cultural,Lucy Maud Montgomery,Mulher,Canada,Portugues,,"Doado, Não começado",No,,No,No,No,No,Yes,2021,Fisico,Infanto Juvenil,Internacional,Traduzido,No,,,
Yes,Apenas Amigos,,Universo dos Livros,Christina Lauren,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,,No,,,
Yes,Aquele verão,,Id,Sarah Dessen,Mulher,Usa,Portugues,,Em pausa,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,As Dez-Vantagens de morrer depois de você,⭐️⭐️⭐️⭐️,Verus,Fernanda de Castro Lima,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2019,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,"As luzes mais brilhantes ",⭐️⭐️⭐️⭐️⭐️,‎ Astral Cultural,Augusto Alvarenga,Homem,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2019,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,As mil noites,⭐️⭐️⭐️⭐️,intrínseca,E K Johnston,Mulher,Canada,Portugues,,Lido,Yes,,No,No,No,No,No,2019,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,As mil partes do meu coração,⭐️⭐️⭐️⭐️⭐️,Galera,Collen Hoover,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,As vantagens de ser invisível,⭐️⭐️⭐️⭐️,Rocco,Stephen Chbosky,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2015,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Kpop Confidencial,⭐️⭐️⭐️⭐️,GloboAlt,Stephan Lee,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"Samantha Sweet, executiva do lar",,Best Bolso,Sophie Kinsella,Mulher,Inglaterra,Portugues,,Doado,No,,No,No,No,No,No,2019,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,O segredo de Emma Corrigan,,Best Bolso,Sophie Kinsella,Mulher,Inglaterra,Portugues,,Doado,No,,No,No,No,No,No,2019,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Jogos Vorazes,⭐️⭐️⭐️⭐️⭐️,Rocco,Suzanne Collins,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,Mil Beijos de Garoto,⭐️⭐️⭐️,Outro Planeta,Tillie Cole,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,No,2017,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Insurgente,⭐️⭐️⭐️⭐️⭐️,Rocco,Veronica Roth,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,As cavernas de aço,,Alef,Isaac Asimov,Homem,Russo,Portugues,,Em pausa,Yes,,No,No,No,No,No,2023,Fisico,Ficção Cientifica,Internacional,Traduzido,No,,,
Yes,Asiáticos podres de ricos,,Record,Kevin Kwan,Homem,Singapura,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Ficção humorística,Internacional,,No,,,
Yes,Battle Royale,,GloboAlt,Koushun Takami,Homem,Japão,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2021,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,Convergente,⭐️⭐️⭐️⭐️,Rocco,Veronica Roth,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,Quatro,⭐️⭐️⭐️⭐️⭐️,Rocco,Veronica Roth,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,Tempestade de guerra,,Seguinte,Victoria Aveyard,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2018,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,"Você me ganhou no Olá ",,Harlequin,Alexis Daria,Mulher,Usa,Portugues,,Em pausa,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
No,HeartStopper,⭐️⭐️⭐️⭐️⭐️,Hodder,Alice Oseman,Mulher,Inglaterra,Ingles,,Lido,Yes,,No,No,No,No,No,2023,HQ,Romance,Internacional,,No,,,
Yes,Coroa Cruel,⭐️⭐️⭐️,Seguinte,Victoria Aveyard,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2017,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,"Azeitona ",,Planeta,Bruno Miranda,Homem,Brasil,Portugues,,Em pausa,Yes,,No,No,No,No,No,2020,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,O odio que você semeia,,Galera,Angie Thomas,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Romance,Internacional,,No,,,
Yes,O amor que partiu o mundo,,‎ HarperCollins,Emily Henry,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Romance,Internacional,,No,,,
Yes,Namorada podre de rica,,Record,Kevin Kwan,Homem,Singapura,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Ficção humorística,Internacional,,No,,,
Yes,Problemas de gente rica,,Record,Kevin Kwan,Homem,Singapura,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Ficção humorística,Internacional,,No,,,
Yes,De sangue e cinzas,,Galera,Jennifer L. Armentrout,Mulher,Usa,Portugues,,"Doado, Não começado",No,,No,No,No,No,No,2022,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Dezesseis,⭐️⭐️⭐️⭐️,Universo dos Livros,Rachel Vincent,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,?,Fisico,Romance Distopico,Internacional,Traduzido,No,,,
Yes,Divergente,⭐️⭐️⭐️⭐️⭐️,Rocco,Veronica Roth,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,Diários da Seleção,⭐️⭐️⭐️⭐️⭐️,Seguinte,Kiera Cass,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Romance Distopico,Internacional,Traduzido,No,,,
Yes,dor fantasma,,Biblioteca Azul,Rafael Gallo,Homem,Brasil,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Drama,Nacional,,No,,,
Yes,Em chamas,⭐️⭐️⭐️⭐️,Rocco,Suzanne Collins,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,Espada de Vidro,⭐️⭐️,Seguinte,Victoria Aveyard,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2016,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,Felizes para sempre,⭐️⭐️⭐️⭐️⭐️,Seguinte,Kiera Cass,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Romance Distopico,Internacional,Traduzido,No,,,
Yes,Garotas como nós,,Universo dos Livros,Dana Mele,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2021,Fisico,Mistério,Internacional,Traduzido,No,,,
Yes,Gente Ansiosa,⭐️⭐️⭐️⭐️⭐️,Rocco,Fredrik Backman,Homem,Suécia,Portugues,2022/08/25,Lido,Yes,,No,No,No,No,No,2021,Fisico,Ficção humorística,Internacional,Traduzido,No,,,
Yes,Harry Potter e a Criança Amaldiçoada,,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Abandonado,Yes,,No,No,No,No,Yes,2016,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Harry Potter e a Câmara Secreta,⭐️⭐️⭐️⭐️⭐️,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Harry Potter e a Ordem da Fênix,⭐️⭐️⭐️⭐️⭐️,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Harry Potter e a Pedra Filosofal,⭐️⭐️⭐️⭐️⭐️,Rocco,Jk Rolling,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2015,Fisico,Fantasia,Internacional,Traduzido,No,,,
No,As neurofiandeiras de Val,,Independente,Rodrigo Pontes,Homem,Brasil,Portugues,,Não começado,Yes,,Yes,No,No,No,No,2023,Ebook,Ficção Científica,Nacional,,No,256,,
No,Intempéries de Verão,,Independente,Ana França,Mulher,Brasil,Portugues,,Não começado,Yes,,Yes,No,No,No,No,2023,Ebook,Romance,Nacional,,No,137,,
No,Operação Capitu,,Independente,Henrique Melo,Homem,Brasil,Portugues,,Não começado,Yes,,Yes,No,No,No,No,2023,Ebook,Romance,Nacional,,No,372,,
No,Algoritmos de Uma Paixão,,Independente,Victoria Moon,Mulher,Brasil,Portugues,,Não começado,Yes,,Yes,No,No,No,No,2022,Ebook,Romance,Nacional,,No,593,,
No,Velha Gata do Apartamento 34,,Independente,‎ Fernanda Negri,Mulher,Brasil,Portugues,,Não começado,Yes,,Yes,No,No,No,No,2022,Ebook,Romance,Nacional,,No,354,,
No,Enemies with Benefits:,,Typewriter Pub,Lavender Fields,Mulher,Usa,Ingles,,Não começado,Yes,,Yes,No,No,No,No,2022,Ebook,Romance,Internacional,,No,343,,
Yes,Fallen,⭐️⭐️,Galera,Lauren Kate,Mulher,Usa,Portugues,,Lido,No,,No,No,No,No,Yes,,Fisico,Romance,Internacional,,No,,,
Yes,Um de nós está mentindo,⭐️⭐️⭐️⭐️,Galera,Karen M. McManus,Mulher,Usa,Portugues,,Lido,No,,No,No,No,No,No,,Fisico,Suspense,Internacional,Traduzido,No,,,
Yes,Uma historia de verão,⭐️⭐️⭐️,Galera,Pam Gonçalves,Mulher,Brasil,Portugues,,Lido,No,,No,No,No,No,No,,Fisico,Romance,Nacional,,No,,,
No,Dança da morte,,,Stephen King,Homem,Usa,,,,No,,No,No,No,No,No,,,,,,No,,,
No,Zona Morta,,,Stephen King,Homem,Usa,,,,No,,No,No,No,No,No,,,,,,No,,,
No,A incendiaria,,,Stephen King,Homem,Usa,,,,No,,No,No,No,No,No,,,,,,No,,,
No,Dança macabra,,,Stephen King,Homem,Usa,,,,No,,No,No,No,No,No,,,,,,No,,,
No,Cujo,,,Stephen King,Homem,Usa,,,,No,,No,No,No,No,No,,,,,,No,,,
No,Saga Torre Negra - O pistoleiro,,,Stephen King,Homem,Usa,,,,No,,No,No,No,No,No,,,,,,No,,,
No,Quatro Estações,,,Stephen King,Homem,Usa,,,,No,,No,No,No,No,No,,,,,,No,,,
No,Christine,,,Stephen King,Homem,Usa,,,,No,,No,No,No,No,No,,,,,,No,,,
