Skoob,Name,Score /5,Editora,Autor,Genero Autor,Nacionalidade,Lingua,Terminado em:,Status,Tenho,Tentativas de leitura,Ku,Prime,HQ,Meta 2023,Serie,Ano Compra,Formato,Genêro,Nacional,Traduzido,Doar,Número de paginas total,Minoria,Cliche
Yes,Para sempre interrompido,⭐️⭐️⭐️⭐️⭐️,Paralela,Taylor Jenkins Reid,Mulher,Usa,Portugues,2024/02/12,Lido,Yes,,No,No,No,No,No,2023,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Um salto para o amor,,Harlequin,Aione Simões,Mulher,Brasil,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Romance,Internacional,,No,,,
Yes,Uma segunda chance,,Faro,Christina Lauren,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Romance,Internacional,,No,,,
Yes,Nada fica no passado,,Faro,Jennifer  Hillier,Mulher,Canada,Portugues,,"Abandonado, Doado",No,,No,No,No,No,No,2023,Fisico,Suspense,Internacional,,No,,,
Yes,De Férias com Você,⭐️⭐️⭐️⭐️,Verus,Emily Henry,Mulher,Usa,Portugues,2024/01/17,Lido,Yes,1,No,No,No,No,No,2023,Fisico,Romance,Internacional,,No,,,
No,Dreamland,,,Sarah Dessen,Mulher,Usa,Ingles,,,No,,No,No,No,No,No,,,Romance,Internacional,Não Traduzido,No,,,
Yes,Daisy Jones & The Six,,Paralela,Taylor Jenkins Reid,Mulher,Usa,Portugues,,Em pausa,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
No,Pânico,,Verus,Lauren Oliver,Mulher,Usa,Portugues,,Lendo,No,,No,No,No,No,No,2021,Ebook,Distopia,Internacional,,No,354,,
Yes,Como agarrar uma herdeira,,Arqueiro,Julia Quin,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,O duque e eu,⭐️⭐️⭐️,Arqueiro,Julia Quin,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2020,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,A razão do amor,⭐️⭐️⭐️⭐️⭐️,Arqueiro,Ali Hazelwood,Mulher,Usa,Portugues,2024/03/11,Lido,Yes,1,No,No,No,No,No,2023,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,O visconde que me amava,⭐️⭐️⭐️⭐️⭐️,Arqueiro,Julia Quin,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,Yes,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"Para Sir Phillip, com amor",,Arqueiro,Julia Quin,Mulher,Usa,Portugues,,Em pausa,Yes,,No,No,No,No,Yes,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Vermelho Branco e Sangue Azul,,Seguinte,Casey McQuiston,Mulher,Usa,Portugues,,"Doado, Não começado",No,,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Sua Alteza Real,,GloboAlt,Rachel Hawkins,Mulher,Usa,Portugues,,"Doado, Não começado",No,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Como Sobreviver a realeza,,GloboAlt,Rachel Hawkins,Mulher,Usa,Portugues,,"Doado, Em pausa",No,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Querido Ex,,Galera,Juan Jullian,Homem,Brasil,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,O jogo,,Paralela,Elle Kennedy,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Sol e Tormenta,,Planeta Minotauro,Leigh Bardugo,Mulher,Usa,Portugues,,"Doado, Não começado",No,,No,No,No,Yes,Yes,2022,Fisico,Fantasia,Internacional,Traduzido,No,,,
No,O Natal de Poirot,,‎ HarperCollins,Agatha Christie,Mulher,Inglaterra,Portugues,,Doado,No,,No,No,No,No,No,2018,Fisico,Mistério,Internacional,Traduzido,No,,,
No,"Assassinato no Expresso Oriente ",,‎ HarperCollins,Agatha Christie,Mulher,Inglaterra,Portugues,,Doado,No,,No,No,No,No,No,2017,Fisico,Mistério,Internacional,Traduzido,No,,,
No,A rebelde do deserto,,Seguinte,Alwyn Hamilton,Mulher,Canada,Portugues,,Doado,No,,No,No,No,No,No,?,Fisico,"Fantasia, Romance",Internacional,Traduzido,No,,,
Yes," Britt-Marie esteve aqui: Marie esteve aqui",⭐️⭐️⭐️⭐️⭐️,Fabrica231,Fredrik Backman,Homem,Suécia,Portugues,2023/11/03,Lido,Yes,2,No,No,No,No,No,2023,Fisico,Ficção humorística,Internacional,Traduzido,No,304,,
Yes,Bunny,⭐️⭐️⭐️⭐️,GloboLivros,Mona Awad,Mulher,Canada,Portugues,2024/07/23,Lido,Yes,1,No,No,No,No,No,2024,Fisico,Suspense,Internacional,Traduzido,No,333,,
Yes,Carrie,⭐️⭐️⭐️⭐️⭐️,Suma,Stephen King,Homem,Usa,Portugues,2024/01/12,Lido,Yes,1,No,No,No,No,No,2024,Fisico,Suspense,Internacional,Traduzido,No,200,,
Yes,Boa noite,⭐️⭐️⭐️⭐️⭐️,Galera,Pam Gonçalves,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2024,Fisico,Romance,Nacional,Na,No,240,,
No,As coisas que eu não disse,,Rocco,Babi Dewet,Mulher,Brasil,Portugues,,Não começado,Yes,,No,No,No,No,No,2024,Fisico,Romance,Nacional,Na,No,416,,
No,The american Rommate Experiment,,Simon & Schuster,Elena Armas,Mulher,Espanha,Ingles,,Abandonado,Yes,,No,No,No,No,No,2024,Fisico,Romance,Internacional,Não Traduzido,No,416,,
No,Salem,,Suma,Stephen King,Homem,Usa,Portugues,,Em pausa,Yes,1,No,No,No,No,No,2024,Fisico,Suspense,Internacional,Traduzido,No,464,,
Yes," Pequeno príncipe ",,Garnier,Antoine de Saint-Exupéri,Homem,França,Portugues,,Não começado,Yes,,No,No,No,No,No,?,Fisico,,Internacional,Traduzido,No,,,
Yes,A Rosa Branca,,Leya,Amy Ewing,Mulher,Usa,Portugues,,Doado,No,,No,No,No,No,Yes,?,Fisico,"Distopia, Romance",Internacional,Traduzido,No,,,
No,A Joia,⭐️⭐️⭐️,Leya,Amy Ewing,Mulher,Usa,Portugues,,Doado,No,,No,No,No,No,Yes,?,Fisico,"Distopia, Romance",Internacional,Traduzido,No,,,
No,"A pequena livraria dos corações solitários ",⭐️,Verus,Annie Darling,Mulher,Inglaterra,Portugues,,Doado,No,,No,No,No,No,No,2019,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"Foi assim que tudo explodiu ",,GloboAlt,Arvin Ahmadi,Homem,Usa,Portugues,,"Doado, Em pausa",No,,No,No,No,No,No,2020,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Caminho das sombras,,Arqueiro,Brent Weeks,Homem,Usa,Portugues,,Doado,No,,No,No,No,No,No,?,Fisico,,Internacional,Traduzido,No,,,
Yes,Sábado a noite dos bailes para a fama,⭐️⭐️⭐️⭐️,Generale,Babi Dewet,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Sábado a noite com amor e música,⭐️⭐️⭐️,Generale,Babi Dewet,Mulher,Brasil,Portugues,2018/08/14,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Sábado a noite,⭐️⭐️⭐️⭐️⭐️,Generale,Babi Dewet,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Sonata em punk rock,⭐️⭐️⭐️⭐️⭐️,Gutenberg,Babi Dewet,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,13 segundos,⭐️⭐️⭐️,Galera,Bel Rodrigues,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2018,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,"Teto para dois ",⭐️⭐️⭐️,intrínseca,Beth O'leary,Mulher,Inglaterra,Portugues,2020/08/13,Lido,Yes,,No,No,No,No,No,2019,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Conectadas,,Seguinte,Clara Alves,Mulher,Brasil,Portugues,,Em pausa,Yes,,No,No,No,No,No,2021,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Mentirosos,⭐️⭐️⭐️,Seguinte,E Lockhart,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2017,Fisico,Mistério,Internacional,Traduzido,No,,,
Yes,Escuridão,,Suma de Letras,Elena P. Melodia,Mulher,Italia,Portugues,,Doado,No,,No,No,No,No,No,2018,Fisico,"Mistério, Romance",Internacional,Traduzido,No,,,
Yes,Beijos de Vampiros,,Moderna,Ellen Schreiben,Mulher,Usa,Portugues,,Doado,No,,No,No,No,No,No,2021,Fisico,"Fantasia, Romance",Internacional,Traduzido,No,,,
Yes,Armada,,Leya,Ernest Cline,Homem,Usa,Portugues,,Doado,No,,No,No,No,No,No,?,Fisico,Ficção Cientifica,Internacional,Traduzido,No,,,
No,Um ano inesquecível,,Gutenberg,"Babi Dewet, Paula Pimenta",Mulher,Brasil,Portugues,,Não começado,Yes,,Yes,No,No,No,No,2023,Ebook,Romance,Nacional,,No,419,,
Yes,1984,,Tricaju,George Orwell,Homem,Inglaterra,Portugues,,Não começado,Yes,,No,No,No,No,No,2021,Fisico,Distopia,Internacional,Traduzido,No,,,
Yes,Garota exemplar,,intrínseca,Gillian Flynn,Mulher,Usa,Portugues,,Doado,No,,No,No,No,No,No,2019,Fisico,Suspense,Internacional,Traduzido,No,,,
Yes,Razão e sensibilidade,,Martin Claret,Jane Austen,Mulher,Inglaterra,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2018,Fisico,"Classico, Romance",Internacional,Traduzido,No,,,
Yes,Orgulho e Preconceito,⭐️⭐️⭐️⭐️⭐️,Martin Claret,Jane Austen,Mulher,Inglaterra,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,"Classico, Romance",Internacional,Traduzido,No,,,
Yes,Persuasão,,Martin Claret,Jane Austen,Mulher,Inglaterra,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2018,Fisico,"Classico, Romance",Internacional,Traduzido,No,,,
Yes,O futuro de nós dois,,Galera,"Carolyn Mackler, Jay Asher",Homem,Usa,Portugues,,"Doado, Não começado",No,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Shine,,intrínseca,Jessica Jung,Mulher,Coreia,Portugues,,"Doado, Em pausa",No,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Tartarugas até lá embaixo,⭐️⭐️⭐️⭐️,intrínseca,John Green,Homem,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2017,Fisico,Romance,Internacional,Traduzido,No,,,
